App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"S. Minneapolis National Karate
            17+",39.2 MB,"17+

              Unrestricted Web Access","English, Arabic, Azerbaijani, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Traditional Chinese, Turkish


        more",Free,N/A,5.0,3 Ratings,Usage Data,https://apps.apple.com/us/app/s-minneapolis-national-karate/id1488945260,1,N/A,N/A
"S.A.M. Posture Print
            4+",1.7 MB,4+,English,Free,N/A,2.0,4 Ratings,N/A,https://apps.apple.com/us/app/s-a-m-posture-print/id1261937892,2,"Sep 11, 2017","Aug 4, 2017"
"S.D.R.G. Tajonar
            4+",139.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-d-r-g-tajonar/id1331874142,13,"May 19, 2022","Jan 8, 2018"
"S.E.T - Simple Exercise Timer
            4+",79.2 MB,4+,English,$0.99,N/A,1.5,2 Ratings,N/A,https://apps.apple.com/us/app/s-e-t-simple-exercise-timer/id1461442252,2,"May 28, 2019","May 1, 2019"
"S.H.A.P.E
            4+",9.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-h-a-p-e/id1577702902,4,"Oct 13, 2021","Jul 23, 2021"
"S.I.C.A. MMA
            4+",53.5 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/s-i-c-a-mma/id1473626101,2,"Jul 21, 2020","Jul 20, 2019"
"S.M.A.R.T EXERCISE
            4+",143.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-m-a-r-t-exercise/id1537557664,1,N/A,N/A
"S.O.S. Stress
            4+",92.7 MB,4+,"English, Dutch",$4.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-o-s-stress/id1457835922,2,"Apr 30, 2019","Mar 30, 2019"
"S.S MECHLION FITNESS
            4+",119.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-s-mechlion-fitness/id1573915669,2,"Jul 11, 2021","Jul 9, 2021"
"S.T.A.R. Support
            17+",108.4 MB,"17+

              Frequent/Intense Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,5.0,2 Ratings,Location,https://apps.apple.com/us/app/s-t-a-r-support/id1525381830,25,"Jun 3, 2022","Feb 23, 2021"
"S10 fit-Health & Fitness Pal
            4+",191.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s10-fit-health-fitness-pal/id1484661564,6,"Jan 6, 2022","Jul 9, 2020"
"S11P Sport earphone
            12+",32.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s11p-sport-earphone/id1136594991,6,"Oct 12, 2016","Jul 25, 2016"
"S2M 1D Dual Force Plates
            4+",64.8 MB,4+,"English, French, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s2m-1d-dual-force-plates/id1359042934,25,"Jan 22, 2022","Jun 19, 2019"
"S2S Functional Performance
            4+",44.5 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,5.0,3 Ratings,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/s2s-functional-performance/id1031344590,10,"May 18, 2022","Aug 18, 2015"
"S3 Fitness
            4+",46.6 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Location",https://apps.apple.com/us/app/s3-fitness/id1553719358,2,"Jan 23, 2022","Feb 16, 2021"
