App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"Yoga 4 Life
            4+",15.2 MB,4+,English,$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/yoga-4-life/id1180430432,3,"Apr 11, 2020","Dec 5, 2016"
"Yoga : Health Tips In Hindi
            4+",7.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/yoga-health-tips-in-hindi/id1121987471,2,"Sep 27, 2018","Jun 15, 2016"
"Yoga Ananda
            4+",45.6 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/yoga-ananda/id1486618327,2,"Jun 10, 2020","Nov 6, 2019"
"Yoga and meditation Relex Music Ad Free
            12+",11.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Mature/Suggestive Themes",English,Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/yoga-and-meditation-relex-music-ad-free/id1200906873,2,"May 11, 2017","Feb 1, 2017"
"Yoga Andrini
            4+",29.2 MB,4+,English,Free,True,5.0,1 Rating,N/A,https://apps.apple.com/us/app/yoga-andrini/id1258438589,8,"Jul 8, 2021","Sep 28, 2017"
"Yoga Anytime - Yoga Classes
            4+",25.8 MB,4+,English,Free,True,4.9,845 Ratings,"Identifiers,Usage Data,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/yoga-anytime-yoga-classes/id1030917132,25,"May 10, 2022","Dec 1, 2018"
"Yoga for Mind and Body|Prayoga
            4+",215.6 MB,4+,English,Free,True,5.0,9 Ratings,N/A,https://apps.apple.com/us/app/yoga-for-mind-and-body-prayoga/id1474448636,24,"Jun 3, 2022","Mar 22, 2020"
"Yoga App - Yoga for Beginners
            17+",14 MB,"17+

              Unrestricted Web Access",English,Free,True,4.3,6 Ratings,N/A,https://apps.apple.com/us/app/yoga-app-yoga-for-beginners/id883891201,9,"Aug 7, 2019","Jul 24, 2014"
"Yoga Asanas
            4+",56 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/yoga-asanas/id1486019837,3,"Aug 7, 2020","May 8, 2020"
"Yoga Asanas and Poses Guide
            4+",35.5 MB,4+,"English, Russian",Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/yoga-asanas-and-poses-guide/id1295683512,2,"Dec 28, 2017","Nov 6, 2017"
"Yoga at House of Prana
            4+",44.3 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/yoga-at-house-of-prana/id1524832217,8,"Dec 22, 2021","Jul 27, 2020"
"Yoga at Simply Well
            4+",25.6 MB,4+,English,Free,N/A,5.0,46 Ratings,"Usage Data,Financial Info,Location,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/yoga-at-simply-well/id1567272002,12,"May 12, 2022","Jun 2, 2021"
