App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"XBX and 5BX
            4+",25.2 MB,4+,English,$3.99,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xbx-and-5bx/id1544369502,11,"Aug 7, 2021","Dec 29, 2020"
"XC Buddy Meet Manager
            4+",23.8 MB,4+,English,$1.99,N/A,3.0,1 Rating,N/A,https://apps.apple.com/us/app/xc-buddy-meet-manager/id1581325303,5,"Nov 1, 2021","Aug 17, 2021"
"XC Score
            4+",1.3 MB,4+,English,$0.99,N/A,3.9,8 Ratings,N/A,https://apps.apple.com/us/app/xc-score/id388870971,7,"Sep 22, 2017","Aug 29, 2010"
"XCADEY
            4+",20.5 MB,4+,"English, Simplified Chinese, Spanish, Traditional Chinese",Free,N/A,2.1,7 Ratings,N/A,https://apps.apple.com/us/app/xcadey/id1281207846,15,"Nov 17, 2020","Sep 11, 2017"
"XCADEY SPORTS
            4+",90.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcadey-sports/id1584298154,5,"Jun 11, 2022","Sep 15, 2021"
"XCare Community Telehealth
            17+",20.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcare-community-telehealth/id1076306388,1,"Nov 8, 2016","Nov 8, 2016"
"XCB
            4+",1.2 MB,4+,English,Free,N/A,4.7,3 Ratings,N/A,https://apps.apple.com/us/app/xcb/id1489702585,1,N/A,N/A
"XCDisplay Watch
            4+",1.7 MB,4+,"English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcdisplay-watch/id1498762200,6,"Mar 14, 2021","Feb 18, 2020"
"XCEL Athletic Lifestyle
            4+",45.1 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,4.2,5 Ratings,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xcel-athletic-lifestyle/id1456028919,5,"Dec 21, 2021","Mar 13, 2019"
"Xcel Fitness
            4+",70.5 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcel-fitness/id1268937149,6,"Nov 1, 2018","Aug 8, 2017"
"XCEL Sports and Fitness
            17+",21.5 MB,"17+

              Unrestricted Web Access","English, French, German, Spanish",Free,N/A,N/A,N/A,"Identifiers,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xcel-sports-and-fitness/id1552464097,1,N/A,N/A
"Xcellent Life
            17+",120.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.0,4 Ratings,N/A,https://apps.apple.com/us/app/xcellent-life/id1183650820,9,"Dec 17, 2021","Apr 20, 2017"
"Xcept: Live home workouts
            4+",130.7 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Contacts,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xcept-live-home-workouts/id1454922621,23,"Apr 18, 2022","Dec 8, 2019"
"Xclusive Fitness
            4+",75.6 MB,4+,English,Free,True,N/A,N/A,"Contact Info,Contact Info",https://apps.apple.com/us/app/xclusive-fitness/id1564243366,1,N/A,N/A
"XclusiveCut
            4+",12 MB,4+,English,$0.99,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/xclusivecut/id1504763771,2,"Apr 14, 2020","Apr 8, 2020"
"XCO 19
            4+",22.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xco-19/id1463930682,2,"May 18, 2019","May 16, 2019"
"XcriptionsAR
            12+",16 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcriptionsar/id1073576108,9,"Nov 8, 2019","Mar 20, 2016"
"Xcross Fitness
            4+",35 MB,4+,English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/xcross-fitness/id1473680503,6,"Mar 3, 2022","Apr 21, 2020"
"XCSki2PEAK
            17+",170.2 MB,"17+

              Unrestricted Web Access",English,Free,True,1.0,1 Rating,N/A,https://apps.apple.com/us/app/xcski2peak/id1053397721,25,"May 2, 2022","Jul 2, 2016"
"XDENT
            4+",35 MB,4+,"English, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xdent/id478616929,6,"Oct 11, 2018","Dec 9, 2011"
"XDF
            4+",119.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xdf/id1568840085,1,N/A,N/A
"XEE-FIT
            4+",36.5 MB,4+,"English, Turkish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xee-fit/id1530772716,12,"Mar 19, 2022","Sep 12, 2020"
"XEE-KIDS
            4+",49.7 MB,4+,"English, Turkish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xee-kids/id1548560202,6,"Nov 3, 2021","Jan 14, 2021"
"Xelliss
            17+",50.8 MB,"17+

              Unrestricted Web Access","English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Lithuanian, Norwegian Bokmål, Polish, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Contacts,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xelliss/id1581432639,4,"May 10, 2022","Sep 7, 2021"
"Xemio Research
            17+",18 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xemio-research/id1540061982,5,"Jan 11, 2022","Nov 19, 2020"
"XENA
            4+",4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xena/id1114425939,3,"Jul 16, 2020","May 27, 2016"
"Xenhouse
            4+",45.2 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,4.6,5 Ratings,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xenhouse/id1578709593,4,"Dec 24, 2021","Jul 28, 2021"
"Xenial Fitness
            4+",65.8 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xenial-fitness/id1385906719,2,"Jun 27, 2018","May 17, 2018"
"Xenon Chex
            4+",45.8 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/xenon-chex/id1529091629,14,"Mar 16, 2022","Aug 28, 2020"
"Xercise4Less Gyms
            17+",43.1 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,"Health & Fitness,Location,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/xercise4less-gyms/id1527102328,25,"May 25, 2022","Dec 11, 2020"
"Xerself
            4+",29.3 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xerself/id1553869574,20,"Dec 11, 2021","Apr 19, 2021"
"Xert EBC
            4+",104.5 MB,4+,English,Free,N/A,4.1,17 Ratings,"Health & Fitness,Location,Contact Info,Identifiers",https://apps.apple.com/us/app/xert-ebc/id1294816918,22,"Nov 18, 2021","Dec 28, 2017"
"XESS
            4+",27.9 MB,4+,Simplified Chinese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xess/id1456068964,5,"Aug 30, 2019","Mar 25, 2019"
"Xestro
            12+",70.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Spanish",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/xestro/id1303274820,23,"Feb 1, 2022","Mar 5, 2019"
"XFA Fitness - Rippedism
            4+",145.8 MB,4+,"English, Estonian, German, Japanese, Portuguese, Spanish",Free,True,4.5,11 Ratings,Purchases,https://apps.apple.com/us/app/xfa-fitness-rippedism/id1435552798,5,"Apr 20, 2022","Sep 27, 2018"
"XFactor Fitness
            4+",47.9 MB,4+,English,Free,True,5.0,6 Ratings,N/A,https://apps.apple.com/us/app/xfactor-fitness/id1529398308,1,N/A,N/A
