App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version
AXA Doctor At Hand,PEGI 3,0,False,3.6,364,https://play.google.com/store/apps/details?id=com.axa.doctorathand,"Jun 10, 2022","Nov 4, 2020","50,000+ ",4.1.0
klarify: Pollen & Allergy App,PEGI 3,0,False,4.4,3.5K,https://play.google.com/store/apps/details?id=me.klarify.klara,"May 25, 2022","Jul 13, 2018","500,000+ ",18.1.1
myPhonak,PEGI 3,0,False,2.3,7.13K,https://play.google.com/store/apps/details?id=com.sonova.phonak.dsapp,"Feb 27, 2022","Aug 30, 2018","1,000,000+ ",4.0.6
ALHOSN UAE,PEGI 3,0,False,2.8,49.6K,https://play.google.com/store/apps/details?id=doh.health.shield,"Jun 13, 2022","Apr 7, 2020","5,000,000+ ",3.5.1
SJA First Aid Fast,PEGI 3,0,False,4.3,8,https://play.google.com/store/apps/details?id=co.uk.classprofessional.sjafirstaid,"May 6, 2022","Mar 28, 2022","5,000+ ",1.0.3
Oticon ON,PEGI 3,0,False,2.8,5.47K,https://play.google.com/store/apps/details?id=com.oticon.remotecontrol,"Sep 27, 2021","Nov 23, 2016","500,000+ ",Varies with device
Doctor Care Anywhere,PEGI 3,0,False,3.0,665,https://play.google.com/store/apps/details?id=com.doctorcareanywhere,"Jun 10, 2022","Apr 1, 2016","50,000+ ",4.1.0
INSIGHT KIDNEY,PEGI 3,0,False,4.5,24,https://play.google.com/store/apps/details?id=com.animares.insightkidney,"Jun 2, 2022","May 13, 2022","1,000+ ",1.0.4
Push Doctor - Online Doctor Appointments & Advice,PEGI 3,0,False,4.7,10.2K,https://play.google.com/store/apps/details?id=com.pushdr.application,"Jun 9, 2022","Sep 28, 2016","100,000+ ",5.6.0
Instant Body Temperature Checker : Fever Tracker,PEGI 3,0,True,3.3,4.97K,https://play.google.com/store/apps/details?id=com.newhealthfitnesstoolsapps.body.temperature.logger.thermometer.fever.tracker.test.checker.diary.info.history,"Sep 20, 2021","Dec 3, 2020","1,000,000+ ",1.3.5
Joii Pet Care,PEGI 3,0,False,4.7,2.56K,https://play.google.com/store/apps/details?id=com.vetai.joii,"Jun 14, 2022","May 22, 2019","100,000+ ",1.6.10.1
Pregnancy Tracker,PEGI 3,0,True,4.9,313K,https://play.google.com/store/apps/details?id=com.easymobs.pregnancy,"Jun 17, 2022","May 4, 2016","5,000,000+ ",1.2.84
PetsApp,PEGI 3,0,False,4.9,1.55K,https://play.google.com/store/apps/details?id=com.gula.petsapp,"Apr 27, 2022","Jan 9, 2020","50,000+ ",2.8.0
