App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Sweat Sessions x Aubre Winters,PEGI 16 • Strong Language,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.sweatsessionsstudio,"Jan 5, 2022","Sep 10, 2021",50+ ,7.207.1,BG
Ref. Guide for Essential Oils,PEGI 3,£4.79,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.abundanthealth4u.refguide4eo,"Apr 30, 2022","Jan 13, 2015","100,000+ ",2.7.0,BG
Awf Health - watch face,PEGI 3,£0.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.watchfacestudio.awfhealthface,"Apr 16, 2022","Nov 18, 2021",500+ ,Varies with device,BG
Simple Workout Log PRO Key,PEGI 3,£2.69,False,4.9,2.1K,https://play.google.com/store/apps/details?id=com.selahsoft.workoutlogpro,"Nov 19, 2013","Dec 4, 2012","10,000+ ",1.1,BG
Miracle Morning,PEGI 3,£4.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=org.miracle.morning,"Jun 3, 2022","Dec 31, 2021","1,000+ ",1.0.87,BG
Google Fit: Activity Tracking,PEGI 3,0,False,3.3,527K,https://play.google.com/store/apps/details?id=com.google.android.apps.fitness,"Jun 17, 2022","Oct 28, 2014","100,000,000+ ",Varies with device,BG
Six Pack in 30 Days,PEGI 3,0,True,4.9,2.13M,https://play.google.com/store/apps/details?id=sixpack.sixpackabs.absworkout,"Jun 19, 2022","Jan 9, 2018","100,000,000+ ",1.1.1,BG
Pedometer - Step Counter,PEGI 3,0,True,4.9,711K,https://play.google.com/store/apps/details?id=pedometer.stepcounter.calorieburner.pedometerforwalking,"Apr 29, 2022","Jan 26, 2018","10,000,000+ ",2.2.0,BG
EO Guide,PEGI 3,£4.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=ch.synceed.eoguide,"Dec 10, 2020","May 15, 2018","10,000+ ",2.1.5,BG
White Noise Pro,PEGI 3,£2.69,True,4.4,679,https://play.google.com/store/apps/details?id=com.tmsoft.whitenoise.pro,"Dec 15, 2021","Mar 9, 2016","10,000+ ",Varies with device,BG
INCI Beauty,PEGI 3,0,True,4.7,4.71K,https://play.google.com/store/apps/details?id=com.incibeauty,"Jun 20, 2022","Aug 9, 2019","1,000,000+ ",1.31.0,BG
Sleep Sound Pro - Relax Mind,PEGI 3,£0.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=jp.snowlife01.android.relax_pro,"Feb 19, 2022","Feb 5, 2022","1,000+ ",1.0.1,BG
MedUNIQA - Bulgaria,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.meduniqa.twa,"Apr 28, 2020","Apr 28, 2020","10,000+ ",1.0.0,BG
iMuscle 2,PEGI 3,£1.79,False,3.5,2.85K,https://play.google.com/store/apps/details?id=com.the3d4medical.imuscle2.smartphones,"Jul 4, 2019","Dec 31, 2013","50,000+ ",1.9,BG
The Wonder Weeks,PEGI 3,£3.99,True,4.2,36.6K,https://play.google.com/store/apps/details?id=org.twisevictory.apps,"Apr 14, 2022","Jun 13, 2012","1,000,000+ ",10.7.1,BG
You Are Your Own Gym by Mark Lauren,PEGI 3,£3.99,False,4.1,3.84K,https://play.google.com/store/apps/details?id=com.leafcutterstudios.yayog,"Feb 28, 2022","Nov 1, 2011","100,000+ ",Varies with device,BG
Freeletics: Fitness Workouts,PEGI 3,0,True,4.2,230K,https://play.google.com/store/apps/details?id=com.freeletics.lite,"Jun 22, 2022","Jan 2, 2014","10,000,000+ ",22.23.0,BG
BetterMe: Health Coaching,PEGI 3,0,True,3.9,215K,https://play.google.com/store/apps/details?id=com.gen.workoutme,"Jun 9, 2022","Jul 27, 2017","10,000,000+ ",6.3.2,BG
Cardi Mate: Heart Rate Monitor,PEGI 3,0,True,3.8,7.11K,https://play.google.com/store/apps/details?id=heart.rate.monitor.pulse,"Jun 14, 2022","Sep 22, 2021","500,000+ ",1.13,BG
Flo Menstrual & Period Tracker,PEGI 3,0,True,4.7,2.63M,https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker,"Jun 22, 2022","Apr 12, 2016","50,000,000+ ",Varies with device,BG
Wispence,PEGI 12 • Nudity,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.wispence.wispence,"Jun 16, 2022","Mar 17, 2020","50,000+ ",1.20.0,BG
Height Increase Workout,PEGI 3,0,True,4.6,426K,https://play.google.com/store/apps/details?id=increaseheightworkout.heightincreaseexercise.tallerexercise,"Mar 18, 2022","Jun 6, 2019","50,000,000+ ",1.0.29,BG
Fasting - Intermittent Fasting,PEGI 3,0,True,4.9,541K,https://play.google.com/store/apps/details?id=bodyfast.zero.fastingtracker.weightloss,"Jun 15, 2022","Oct 25, 2019","10,000,000+ ",1.5.3,BG
"Strava: Run, Ride, Hike",Parental guidance • Parental Guidance Recommended,0,True,4.5,762K,https://play.google.com/store/apps/details?id=com.strava,"Jun 20, 2022","Jun 9, 2011","50,000,000+ ",Varies with device,BG
YAZIO Fasting & Food Tracker,PEGI 3,0,True,4.5,456K,https://play.google.com/store/apps/details?id=com.yazio.android,"Jun 15, 2022","Apr 23, 2014","10,000,000+ ",Varies with device,BG
StrongLifts Weight Lifting Log,PEGI 3,0,True,4.8,94.2K,https://play.google.com/store/apps/details?id=com.stronglifts.app,"Apr 5, 2022","Dec 23, 2013","1,000,000+ ",3.0.23,BG
Home Workout - No Equipment,PEGI 3,0,True,4.9,2.84M,https://play.google.com/store/apps/details?id=homeworkout.homeworkouts.noequipment,"Apr 27, 2022","Nov 8, 2017","100,000,000+ ",1.1.8,BG
Food Intolerances,PEGI 3,£7.99,False,4.4,472,https://play.google.com/store/apps/details?id=de.baliza.hifmco,"Jun 8, 2022","Dec 9, 2012","10,000+ ",2.9.2,BG
Clue Period & Cycle Tracker,PEGI 3,0,True,4.6,1.14M,https://play.google.com/store/apps/details?id=com.clue.android,"Jun 14, 2022","Oct 9, 2014","10,000,000+ ",68.0,BG
Sobriety Counter -EasyQuit pro,PEGI 3,£6.49,False,5.0,1.98K,https://play.google.com/store/apps/details?id=com.herzberg.easyquitsdrinkingPro,"Jan 28, 2022","Dec 17, 2016","10,000+ ",1.9,BG
Six Pack in 30 Days,PEGI 3,0,True,4.7,57.4K,https://play.google.com/store/apps/details?id=com.taka.sixpack,"Mar 23, 2022","Aug 13, 2017","5,000,000+ ",1.6.15,BG
Pedometer - Step Counter App,PEGI 3,0,True,4.8,757K,https://play.google.com/store/apps/details?id=com.tayu.tau.pedometer,"May 22, 2022","Jun 4, 2013","50,000,000+ ",5.40,BG
Anxiety Release based on EMDR,PEGI 3,£3.69,False,4.2,204,https://play.google.com/store/apps/details?id=com.overcomingpain.anxiety,"Mar 14, 2022","May 29, 2014","10,000+ ",1.7,BG
Period Calendar Period Tracker,PEGI 3,0,True,4.9,6.71M,https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar,"Jun 10, 2022","Mar 16, 2012","100,000,000+ ",Varies with device,BG
"Snore Free : Stop Snoring Gym, Deep Sleep Solution",PEGI 3,0,True,2.8,254,https://play.google.com/store/apps/details?id=me.snorefree,"Mar 2, 2022","Jul 5, 2019","100,000+ ",2.0.23,BG
"Relive: Run, Ride, Hike & more",Parental guidance • Parental Guidance Recommended,0,True,4.4,276K,https://play.google.com/store/apps/details?id=cc.relive.reliveapp,"Jun 23, 2022","Mar 21, 2017","10,000,000+ ",3.107.2,BG
Starting Strength Official,PEGI 3,£25.49,True,4.7,3K,https://play.google.com/store/apps/details?id=com.shabu.startingstrength,"Jun 7, 2022","Aug 18, 2015","10,000+ ",1.3,BG
Finch: Self Care Widget Pet,PEGI 3,0,True,4.9,84.1K,https://play.google.com/store/apps/details?id=com.finch.finch,"Jun 16, 2022","May 11, 2021","1,000,000+ ",3.15.0,BG
Sweatcoin,PEGI 3,0,True,4.4,1.21M,https://play.google.com/store/apps/details?id=in.sweatco.app,"Jun 21, 2022","Apr 9, 2017","50,000,000+ ",102.1,BG
