App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
LMDoki,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=hu.lmdoki.lmdoki,"Jun 17, 2022","Apr 8, 2022","1,000+ ",1.0.3,HU
Squeezy: NHS Pelvic Floor App,PEGI 3,£2.99,False,4.6,3.25K,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+ ",Varies with device,HU
Journal Club: Medicine,PEGI 3,£6.49,False,4.7,263,https://play.google.com/store/apps/details?id=org.wikijournalclub,"Sep 12, 2019","Mar 9, 2013","10,000+ ",Varies with device,HU
Diseases & Disorders,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.paid,"Apr 16, 2020","Apr 5, 2016","5,000+ ",Varies with device,HU
Davis's Drug Guide,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.unbound.android.cqddl,"Jun 6, 2022","Jun 25, 2015","100,000+ ",2.8.04,HU
Full Code - Emergency Medicine Simulation,PEGI 3,0,True,4.2,2.2K,https://play.google.com/store/apps/details?id=com.minerva_medical.minerva,"Apr 20, 2022","Aug 9, 2018","100,000+ ",2.9,HU
Critical - Medical Guide,PEGI 3,£13.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.iotait.criticalx,"Mar 1, 2020","Mar 1, 2020","1,000+ ",2.0,HU
Hölgynaptár – ciklus napló,PEGI 3,0,True,4.1,704,https://play.google.com/store/apps/details?id=hu.pharmapromo.holgynaptar,"Dec 16, 2020","Dec 16, 2012","50,000+ ",2.3.2,HU
Haema Plasma,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=hu.kedplasma.kedplasma,"Jan 28, 2021",N/A,"1,000+ ",1.2.0,HU
ALHOSN UAE,PEGI 3,0,False,2.8,49.7K,https://play.google.com/store/apps/details?id=doh.health.shield,"Jun 21, 2022","Apr 7, 2020","5,000,000+ ",3.5.2,HU
SnoreGym : Reduce Your Snoring,PEGI 3,£4.19,False,4.7,951,https://play.google.com/store/apps/details?id=com.snorelab.snoregym,"Jan 15, 2021","Feb 3, 2020","50,000+ ",1.0.8,HU
Medio,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=cc.medicall.medio,"Feb 1, 2021","Apr 26, 2020","5,000+ ",1.0.9,HU
ASRA Coags,PEGI 3,£3.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,HU
Preventicus Heartbeats,PEGI 3,0,True,3.3,1.89K,https://play.google.com/store/apps/details?id=com.preventicus.heartbeats,"Feb 11, 2022","Jul 20, 2016","100,000+ ",1.6.16,HU
"Voice Tools: Pitch, Tone, & Volume",PEGI 3,0,True,4.2,1.14K,https://play.google.com/store/apps/details?id=com.DevExtras.VoiceTools,"Jul 27, 2021","Nov 19, 2018","100,000+ ",1.02.100,HU
Diabetes:M - Management & Blood Sugar Tracker App,PEGI 3,0,True,4.2,21.9K,https://play.google.com/store/apps/details?id=com.mydiabetes,"Jan 10, 2022","Apr 16, 2013","500,000+ ",8.0.13,HU
Fitpuli,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=hu.fitpuli.android,"Feb 1, 2022","Sep 24, 2019","5,000+ ",3.7.13,HU
Calcium Pro,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.haneke.parathyroid,"Jun 16, 2022","Mar 15, 2013","10,000+ ",1.7.4,HU
MEDCode: Bulários e Condutas,PEGI 3,0,True,5.0,2.03K,https://play.google.com/store/apps/details?id=br.com.medsos.sosplantao,"Jun 22, 2022","Mar 28, 2019","50,000+ ",3.0.3,HU
MDonCall - Practical Guide,PEGI 3,£9.99,False,4.4,51,https://play.google.com/store/apps/details?id=com.mdoncall,"May 19, 2022","Oct 25, 2012","5,000+ ",6.1.7,HU
Lexicomp,PEGI 3,0,True,4.4,2.47K,https://play.google.com/store/apps/details?id=com.lexi.android,"Apr 19, 2022","Apr 7, 2010","500,000+ ",Varies with device,HU
