,App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code,Application Type
94,MyChart,PEGI 3,0,False,4.6,108K,https://play.google.com/store/apps/details?id=epic.mychart.android,"May 9, 2022","Dec 16, 2016","10,000,000+ ",Varies with device,FO,MEDICAL
95,Medicina Hospitalaria,PEGI 3,£6.49,False,,,https://play.google.com/store/apps/details?id=lhidalgo42.nicolas.triantafilo,"Feb 17, 2019","Dec 10, 2017","10,000+ ",2.1.8,FO,MEDICAL
96,Instant Body Temperature Checker : Fever Tracker,PEGI 3,0,True,3.3,4.98K,https://play.google.com/store/apps/details?id=com.newhealthfitnesstoolsapps.body.temperature.logger.thermometer.fever.tracker.test.checker.diary.info.history,"Sep 20, 2021","Dec 3, 2020","1,000,000+ ",1.3.5,FO,MEDICAL
97,ASCCP Management Guidelines,PEGI 3,£9.49,False,,,https://play.google.com/store/apps/details?id=org.asccp.app2019,"Feb 9, 2022","Jun 20, 2020","10,000+ ",1.7,FO,MEDICAL
98,INR Diary,PEGI 3,£2.09,False,,,https://play.google.com/store/apps/details?id=be.webfactor.inrdiaryplus,"Feb 6, 2022","May 19, 2020","1,000+ ",2.2.2,FO,MEDICAL
99,Homeopathy at Home,PEGI 3,£1.99,False,,,https://play.google.com/store/apps/details?id=homeopat1app.homeopat1,"Nov 19, 2021","Oct 20, 2021",100+ ,1.0.0,FO,MEDICAL
100,Visual Anatomy 2,PEGI 3,£1.59,False,4.6,939,https://play.google.com/store/apps/details?id=com.hssn.anatomy2,"Jun 9, 2022","Aug 22, 2014","10,000+ ",Varies with device,FO,MEDICAL
101,e-motion® M25,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=de.alber.emotion_m25,"Apr 13, 2022","Oct 2, 2018","5,000+ ",2.4.0.0-162,FO,MEDICAL
102,Language Therapy: Aphasia,PEGI 3,£64.99,False,4.6,76,https://play.google.com/store/apps/details?id=com.tactustherapy.languagetherapy,"Jun 17, 2022","Feb 29, 2016","1,000+ ",4.0.195,FO,MEDICAL
103,Petralex Hearing Aid App,PEGI 3,0,True,2.9,7.42K,https://play.google.com/store/apps/details?id=com.it4you.petralex,"Nov 2, 2021","Apr 1, 2014","1,000,000+ ",3.9.8,FO,MEDICAL
104,Full Code - Emergency Medicine Simulation,PEGI 3,0,True,4.2,2.2K,https://play.google.com/store/apps/details?id=com.minerva_medical.minerva,"Apr 20, 2022","Aug 9, 2018","100,000+ ",2.9,FO,MEDICAL
105,PeduliLindungi,PEGI 3,0,False,2.2,954K,https://play.google.com/store/apps/details?id=com.telkom.tracencare,"Jun 11, 2022","Aug 2, 2021","50,000,000+ ",4.4.6,FO,MEDICAL
106,全民健保行動快易通 | 健康存摺,PEGI 3,0,False,3.1,53.6K,https://play.google.com/store/apps/details?id=com.nhiApp.v1,"Jun 8, 2022","Mar 9, 2016","5,000,000+ ",3.0.22,FO,MEDICAL
107,"MediBuddy-Online Dr, Lab, Meds",PEGI 3,0,False,4.5,153K,https://play.google.com/store/apps/details?id=in.medibuddy,"Jun 22, 2022","Jul 8, 2014","1,000,000+ ",3.2.08,FO,MEDICAL
108,Аптека Вита — поиск лекарств,PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=com.platfomni.vita,"Jun 2, 2022","Oct 8, 2020","1,000,000+ ",2.6,FO,MEDICAL
109,FibriCheck,PEGI 3,0,True,3.3,6.32K,https://play.google.com/store/apps/details?id=com.qompium.fibricheck,"Jun 2, 2022","Aug 23, 2016","500,000+ ",2.3.0,FO,MEDICAL
110,e-Anatomy,PEGI 18,0,True,3.9,2.82K,https://play.google.com/store/apps/details?id=net.imaios.eanatomy,"May 17, 2022","Oct 20, 2011","500,000+ ",5.2.7,FO,MEDICAL
111,mySugr - Diabetes Tracker Log,PEGI 3,0,True,4.4,68.4K,https://play.google.com/store/apps/details?id=com.mysugr.android.companion,"Jun 20, 2022","Dec 6, 2013","1,000,000+ ",3.92.33,FO,MEDICAL
112,Rost Moves for Mamas,PEGI 3,£4.19,False,,,https://play.google.com/store/apps/details?id=nl.xlwebsolutions.android.dynabloqs.rostmoves,"Jun 1, 2022","Apr 5, 2022",100+ ,1.16,FO,MEDICAL
113,MHRS,PEGI 3,0,False,4.1,77.6K,https://play.google.com/store/apps/details?id=tr.gov.saglik.MHRSMOBIL,"Jun 9, 2022","Dec 18, 2020","10,000,000+ ",1.5.5,FO,MEDICAL
114,Ratownictwo medyczne algorytmy,PEGI 3,£6.49,False,,,https://play.google.com/store/apps/details?id=pl.waw.bitmed.protokols,"Jun 23, 2022","Apr 29, 2014","5,000+ ",14.4.0,FO,MEDICAL
115,Paediatric Emergencies,PEGI 3,£4.99,False,4.7,122,https://play.google.com/store/apps/details?id=com.itdcs.paediatricemergency,"Jan 9, 2022","Apr 1, 2014","5,000+ ",22.01,FO,MEDICAL
116,질병관리청 COOV(코로나19 전자예방접종증명서),PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=kr.go.kdca.coov,"Sep 30, 2021","Apr 20, 2021","10,000,000+ ",1.5.11,FO,MEDICAL
117,Journal Club: Medicine,PEGI 3,£6.49,False,4.7,263,https://play.google.com/store/apps/details?id=org.wikijournalclub,"Sep 12, 2019","Mar 9, 2013","10,000+ ",Varies with device,FO,MEDICAL
118,VeinSeek,PEGI 3,£2.99,False,1.4,359,https://play.google.com/store/apps/details?id=com.vs.veinseek,"Dec 5, 2017","Feb 10, 2017","10,000+ ",Varies with device,FO,MEDICAL
119,ASRA Coags,PEGI 3,£3.79,False,,,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,FO,MEDICAL
120,Medical ID (premium),PEGI 3,£4.99,False,4.7,2.23K,https://play.google.com/store/apps/details?id=app.medicalid,"May 9, 2022","Jun 28, 2014","10,000+ ",7.15.1,FO,MEDICAL
121,Davis's Drug Guide for Nurses,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=com.usbmis.reader.dadg,"Jun 4, 2022","Jul 5, 2011","100,000+ ",6.3.1.475,FO,MEDICAL
122,MySOS,PEGI 3,0,False,1.8,1.68K,https://play.google.com/store/apps/details?id=net.allm.mysos,"Jun 10, 2022","Nov 3, 2015","500,000+ ",3.1.10,FO,MEDICAL
123,MindDoc: Your Companion,PEGI 3,0,True,4.4,37.5K,https://play.google.com/store/apps/details?id=de.moodpath.android,"Jun 1, 2022","Jul 3, 2017","1,000,000+ ",4.17.4,FO,MEDICAL
124,ZnanyLekarz: umawiaj wizyty,PEGI 3,0,False,4.8,22.5K,https://play.google.com/store/apps/details?id=pl.znanylekarz,"Jun 21, 2022","Feb 26, 2013","1,000,000+ ",5.33.0,FO,MEDICAL
125,COCOA - COVID-19 Contact App,PEGI 3,0,False,2.6,25.8K,https://play.google.com/store/apps/details?id=jp.go.mhlw.covid19radar,"Jun 5, 2022","Jun 11, 2020","10,000,000+ ",2.0.1,FO,MEDICAL
126,Freya • Surge Timer,PEGI 3,£2.49,False,3.9,284,https://play.google.com/store/apps/details?id=com.thepositivebirthcompany.freyasurgetimer,"Jun 12, 2020","Dec 23, 2019","10,000+ ",2.0.56,FO,MEDICAL
127,Dr Lal PathLabs,PEGI 3,0,False,3.5,20.3K,https://play.google.com/store/apps/details?id=pathlabs.com.pathlabs,"Apr 8, 2022","Feb 29, 2016","1,000,000+ ",8.1.4,FO,MEDICAL
